iso3c,fabio_area_code,fabio_item_code,fabio_item,year,total_product_output,price,va_source,fao_status,gap_cause,isic,file
AFG,2,2614,"Citrus, Other",2011,2000,612.4,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2012,1912,609.061966827609,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2012,1912,609.061966827609,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2013,2995,526.2,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2013,2995,526.2,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2014,2865,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2014,2865,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2015,2887,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2015,2887,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2016,18000,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2016,18000,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2017,18003,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2017,18003,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2018,18482,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2018,18482,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2019,31000,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2019,31000,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2020,3998,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2020,3998,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2021,24999,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2021,24999,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2022,22000,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2022,22000,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2023,19002,,EXIOBASE,reported,no_sua_bundle,C,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-C.rds
AFG,2,2614,"Citrus, Other",2023,19002,,GLORIA,reported,no_sua_bundle,C,FABIOv2_COMBINED_GLORIA_value_added_ISIC-C.rds
AFG,2,1096,Horses,2017,0,,EXIOBASE,reported,no_quantity,A,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-A.rds
AFG,2,1096,Horses,2017,0,,GLORIA,reported,no_quantity,A,FABIOv2_COMBINED_GLORIA_value_added_ISIC-A.rds
AFG,2,1096,Horses,2018,0,,EXIOBASE,reported,no_quantity,A,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-A.rds
AFG,2,1096,Horses,2018,0,,GLORIA,reported,no_quantity,A,FABIOv2_COMBINED_GLORIA_value_added_ISIC-A.rds
AFG,2,1096,Horses,2019,0,,EXIOBASE,reported,no_quantity,A,FABIOv2_COMBINED_EXIOBASE_value_added_ISIC-A.rds
AFG,2,1096,Horses,2019,0,,GLORIA,reported,no_quantity,A,FABIOv2_COMBINED_GLORIA_value_added_ISIC-A.rds
